# ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)
uniprotkb:P05067	uniprotkb:O95864	ensembl:ENSP00000284981.4|uniprotkb:P09000|uniprotkb:P78438|uniprotkb:Q13764|uniprotkb:Q13778|uniprotkb:Q13793|intact:EBI-28985182|uniprotkb:Q6GSC0|uniprotkb:Q8WZ99|uniprotkb:Q9UC33|uniprotkb:Q9UCC8|uniprotkb:Q9UCD1|uniprotkb:Q9UQ58|uniprotkb:Q16011|uniprotkb:Q16014|uniprotkb:Q16019|uniprotkb:Q16020|uniprotkb:Q9BT38|uniprotkb:Q9UCA9|uniprotkb:Q9UCB6|uniprotkb:B4DII8|uniprotkb:B2R5V1|uniprotkb:D3DSD1|uniprotkb:D3DSD2|uniprotkb:D3DSD3|intact:EBI-77613|uniprotkb:P05067	uniprotkb:A8K2M6|uniprotkb:Q6MZQ7|uniprotkb:Q9H3G3|uniprotkb:Q9Y3X4|uniprotkb:B7Z634|uniprotkb:Q96SV8|uniprotkb:Q96H07|ensembl:ENSP00000278840.4|intact:EBI-11337838|uniprotkb:O95864	psi-mi:a4_human(display_short)|psi-mi:Amyloid-beta precursor protein(display_long)|uniprotkb:APP(gene name)|uniprotkb:"Amyloid-beta (A4) precursor protein"(gene name synonym)|uniprotkb:Alzheimer disease amyloid A4 protein homolog(gene name synonym)|uniprotkb:Amyloid-beta A4 protein(gene name synonym)|uniprotkb:Amyloid precursor protein(gene name synonym)|uniprotkb:APPI(gene name synonym)|uniprotkb:Protease nexin-II(gene name synonym)|uniprotkb:Cerebral vascular amyloid peptide(gene name synonym)|uniprotkb:PreA4(gene name synonym)|uniprotkb:ABPP(gene name synonym)|uniprotkb:Alzheimer disease amyloid protein(gene name synonym)|uniprotkb:AD1(gene name synonym)|uniprotkb:A4(gene name synonym)	psi-mi:fads2_human(display_short)|psi-mi:Acyl-CoA 6-desaturase(display_long)|uniprotkb:Fatty acid desaturase 2(gene name synonym)|uniprotkb:"Delta(6) fatty acid desaturase"(gene name synonym)|uniprotkb:FADS2(gene name)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Hosp F. et al.(2015)	intact:EBI-21132292|pubmed:25959826|imex:IM-27137	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0486"(UniProt)	intact:EBI-21132574|imex:IM-27137-1	-
uniprotkb:P05067	uniprotkb:P13861	ensembl:ENSP00000284981.4|uniprotkb:P09000|uniprotkb:P78438|uniprotkb:Q13764|uniprotkb:Q13778|uniprotkb:Q13793|intact:EBI-28985182|uniprotkb:Q6GSC0|uniprotkb:Q8WZ99|uniprotkb:Q9UC33|uniprotkb:Q9UCC8|uniprotkb:Q9UCD1|uniprotkb:Q9UQ58|uniprotkb:Q16011|uniprotkb:Q16014|uniprotkb:Q16019|uniprotkb:Q16020|uniprotkb:Q9BT38|uniprotkb:Q9UCA9|uniprotkb:Q9UCB6|uniprotkb:B4DII8|uniprotkb:B2R5V1|uniprotkb:D3DSD1|uniprotkb:D3DSD2|uniprotkb:D3DSD3|intact:EBI-77613|uniprotkb:P05067	uniprotkb:Q16823|intact:EBI-6116682|uniprotkb:Q9BUB1|intact:EBI-10961724|ensembl:ENSP00000265563.8|ensembl:ENSP00000394041.1|intact:EBI-2556122|uniprotkb:P13861	psi-mi:a4_human(display_short)|psi-mi:Amyloid-beta precursor protein(display_long)|uniprotkb:APP(gene name)|uniprotkb:"Amyloid-beta (A4) precursor protein"(gene name synonym)|uniprotkb:Alzheimer disease amyloid A4 protein homolog(gene name synonym)|uniprotkb:Amyloid-beta A4 protein(gene name synonym)|uniprotkb:Amyloid precursor protein(gene name synonym)|uniprotkb:APPI(gene name synonym)|uniprotkb:Protease nexin-II(gene name synonym)|uniprotkb:Cerebral vascular amyloid peptide(gene name synonym)|uniprotkb:PreA4(gene name synonym)|uniprotkb:ABPP(gene name synonym)|uniprotkb:Alzheimer disease amyloid protein(gene name synonym)|uniprotkb:AD1(gene name synonym)|uniprotkb:A4(gene name synonym)	psi-mi:kap2_human(display_short)|psi-mi:cAMP-dependent protein kinase type II-alpha regulatory subunit(display_long)|uniprotkb:PRKAR2A(gene name)|uniprotkb:PRKAR2(gene name synonym)|uniprotkb:PKR2(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Hosp F. et al.(2015)	intact:EBI-21132292|pubmed:25959826|imex:IM-27137	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0486"(UniProt)	intact:EBI-21132574|imex:IM-27137-1	-
uniprotkb:P05067	uniprotkb:Q8TD31	ensembl:ENSP00000284981.4|uniprotkb:P09000|uniprotkb:P78438|uniprotkb:Q13764|uniprotkb:Q13778|uniprotkb:Q13793|intact:EBI-28985182|uniprotkb:Q6GSC0|uniprotkb:Q8WZ99|uniprotkb:Q9UC33|uniprotkb:Q9UCC8|uniprotkb:Q9UCD1|uniprotkb:Q9UQ58|uniprotkb:Q16011|uniprotkb:Q16014|uniprotkb:Q16019|uniprotkb:Q16020|uniprotkb:Q9BT38|uniprotkb:Q9UCA9|uniprotkb:Q9UCB6|uniprotkb:B4DII8|uniprotkb:B2R5V1|uniprotkb:D3DSD1|uniprotkb:D3DSD2|uniprotkb:D3DSD3|intact:EBI-77613|uniprotkb:P05067	uniprotkb:Q9NRK8|uniprotkb:Q9NWY9|uniprotkb:Q9NXJ4|uniprotkb:Q9NXK3|uniprotkb:Q9Y6W1|uniprotkb:Q9Y6W2|uniprotkb:Q5SQ82|uniprotkb:Q5STE9|uniprotkb:A2ABH6|uniprotkb:Q2TB67|uniprotkb:E9PE84|ensembl:ENSP00000365442.5|ensembl:ENSP00000372832.4|ensembl:ENSP00000373019.4|ensembl:ENSP00000383205.3|ensembl:ENSP00000393042.2|ensembl:ENSP00000408012.2|intact:EBI-949834|uniprotkb:Q8TD31	psi-mi:a4_human(display_short)|psi-mi:Amyloid-beta precursor protein(display_long)|uniprotkb:APP(gene name)|uniprotkb:"Amyloid-beta (A4) precursor protein"(gene name synonym)|uniprotkb:Alzheimer disease amyloid A4 protein homolog(gene name synonym)|uniprotkb:Amyloid-beta A4 protein(gene name synonym)|uniprotkb:Amyloid precursor protein(gene name synonym)|uniprotkb:APPI(gene name synonym)|uniprotkb:Protease nexin-II(gene name synonym)|uniprotkb:Cerebral vascular amyloid peptide(gene name synonym)|uniprotkb:PreA4(gene name synonym)|uniprotkb:ABPP(gene name synonym)|uniprotkb:Alzheimer disease amyloid protein(gene name synonym)|uniprotkb:AD1(gene name synonym)|uniprotkb:A4(gene name synonym)	psi-mi:cchcr_human(display_short)|psi-mi:Coiled-coil alpha-helical rod protein 1(display_long)|uniprotkb:CCHCR1(gene name)|uniprotkb:HCR(gene name synonym)|uniprotkb:C6orf18(gene name synonym)|uniprotkb:Putative gene 8 protein(gene name synonym)|uniprotkb:Alpha-helical coiled-coil rod protein(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Hosp F. et al.(2015)	intact:EBI-21132292|pubmed:25959826|imex:IM-27137	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0486"(UniProt)	intact:EBI-21132574|imex:IM-27137-1	-
uniprotkb:P05067	uniprotkb:Q15392	ensembl:ENSP00000284981.4|uniprotkb:P09000|uniprotkb:P78438|uniprotkb:Q13764|uniprotkb:Q13778|uniprotkb:Q13793|intact:EBI-28985182|uniprotkb:Q6GSC0|uniprotkb:Q8WZ99|uniprotkb:Q9UC33|uniprotkb:Q9UCC8|uniprotkb:Q9UCD1|uniprotkb:Q9UQ58|uniprotkb:Q16011|uniprotkb:Q16014|uniprotkb:Q16019|uniprotkb:Q16020|uniprotkb:Q9BT38|uniprotkb:Q9UCA9|uniprotkb:Q9UCB6|uniprotkb:B4DII8|uniprotkb:B2R5V1|uniprotkb:D3DSD1|uniprotkb:D3DSD2|uniprotkb:D3DSD3|intact:EBI-77613|uniprotkb:P05067	uniprotkb:D3DQ51|uniprotkb:Q9HBA8|uniprotkb:B7Z817|intact:EBI-10964490|ensembl:ENSP00000360316.3|ensembl:ENSP00000416585.2|intact:EBI-5457558|uniprotkb:Q15392	psi-mi:a4_human(display_short)|psi-mi:Amyloid-beta precursor protein(display_long)|uniprotkb:APP(gene name)|uniprotkb:"Amyloid-beta (A4) precursor protein"(gene name synonym)|uniprotkb:Alzheimer disease amyloid A4 protein homolog(gene name synonym)|uniprotkb:Amyloid-beta A4 protein(gene name synonym)|uniprotkb:Amyloid precursor protein(gene name synonym)|uniprotkb:APPI(gene name synonym)|uniprotkb:Protease nexin-II(gene name synonym)|uniprotkb:Cerebral vascular amyloid peptide(gene name synonym)|uniprotkb:PreA4(gene name synonym)|uniprotkb:ABPP(gene name synonym)|uniprotkb:Alzheimer disease amyloid protein(gene name synonym)|uniprotkb:AD1(gene name synonym)|uniprotkb:A4(gene name synonym)	psi-mi:dhc24_human(display_short)|psi-mi:"Delta(24)-sterol reductase"(display_long)|uniprotkb:DHCR24(gene name)|uniprotkb:3-beta-hydroxysterol Delta-24-reductase(gene name synonym)|uniprotkb:Seladin-1(gene name synonym)|uniprotkb:Diminuto/dwarf1 homolog(gene name synonym)|uniprotkb:24-dehydrocholesterol reductase(gene name synonym)|uniprotkb:KIAA0018(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Hosp F. et al.(2015)	intact:EBI-21132292|pubmed:25959826|imex:IM-27137	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0486"(UniProt)	intact:EBI-21132574|imex:IM-27137-1	-
uniprotkb:P05067	uniprotkb:Q15125	ensembl:ENSP00000284981.4|uniprotkb:P09000|uniprotkb:P78438|uniprotkb:Q13764|uniprotkb:Q13778|uniprotkb:Q13793|intact:EBI-28985182|uniprotkb:Q6GSC0|uniprotkb:Q8WZ99|uniprotkb:Q9UC33|uniprotkb:Q9UCC8|uniprotkb:Q9UCD1|uniprotkb:Q9UQ58|uniprotkb:Q16011|uniprotkb:Q16014|uniprotkb:Q16019|uniprotkb:Q16020|uniprotkb:Q9BT38|uniprotkb:Q9UCA9|uniprotkb:Q9UCB6|uniprotkb:B4DII8|uniprotkb:B2R5V1|uniprotkb:D3DSD1|uniprotkb:D3DSD2|uniprotkb:D3DSD3|intact:EBI-77613|uniprotkb:P05067	uniprotkb:Q6IBI9|uniprotkb:Q6FGL3|ensembl:ENSP00000417052.1|intact:EBI-3915253|uniprotkb:Q15125	psi-mi:a4_human(display_short)|psi-mi:Amyloid-beta precursor protein(display_long)|uniprotkb:APP(gene name)|uniprotkb:"Amyloid-beta (A4) precursor protein"(gene name synonym)|uniprotkb:Alzheimer disease amyloid A4 protein homolog(gene name synonym)|uniprotkb:Amyloid-beta A4 protein(gene name synonym)|uniprotkb:Amyloid precursor protein(gene name synonym)|uniprotkb:APPI(gene name synonym)|uniprotkb:Protease nexin-II(gene name synonym)|uniprotkb:Cerebral vascular amyloid peptide(gene name synonym)|uniprotkb:PreA4(gene name synonym)|uniprotkb:ABPP(gene name synonym)|uniprotkb:Alzheimer disease amyloid protein(gene name synonym)|uniprotkb:AD1(gene name synonym)|uniprotkb:A4(gene name synonym)	psi-mi:ebp_human(display_short)|psi-mi:"3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase"(display_long)|uniprotkb:Cholestenol Delta-isomerase(gene name synonym)|uniprotkb:"Delta(8)-Delta(7) sterol isomerase"(gene name synonym)|uniprotkb:Emopamil-binding protein(gene name synonym)|uniprotkb:EBP(gene name)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Hosp F. et al.(2015)	intact:EBI-21132292|pubmed:25959826|imex:IM-27137	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0486"(UniProt)	intact:EBI-21132574|imex:IM-27137-1	-
uniprotkb:P05067	uniprotkb:P00846	ensembl:ENSP00000284981.4|uniprotkb:P09000|uniprotkb:P78438|uniprotkb:Q13764|uniprotkb:Q13778|uniprotkb:Q13793|intact:EBI-28985182|uniprotkb:Q6GSC0|uniprotkb:Q8WZ99|uniprotkb:Q9UC33|uniprotkb:Q9UCC8|uniprotkb:Q9UCD1|uniprotkb:Q9UQ58|uniprotkb:Q16011|uniprotkb:Q16014|uniprotkb:Q16019|uniprotkb:Q16020|uniprotkb:Q9BT38|uniprotkb:Q9UCA9|uniprotkb:Q9UCB6|uniprotkb:B4DII8|uniprotkb:B2R5V1|uniprotkb:D3DSD1|uniprotkb:D3DSD2|uniprotkb:D3DSD3|intact:EBI-77613|uniprotkb:P05067	uniprotkb:Q34772|uniprotkb:Q5S8W5|uniprotkb:Q5S9E7|uniprotkb:Q5S9I6|uniprotkb:Q5SA31|uniprotkb:Q6RPB7|uniprotkb:Q6VHC0|uniprotkb:Q6VHE0|uniprotkb:Q6WQF4|uniprotkb:Q7YCC1|uniprotkb:Q7YCF8|uniprotkb:Q7YCG1|uniprotkb:Q85KU8|uniprotkb:Q85KX1|uniprotkb:Q85L05|uniprotkb:Q8HNQ4|uniprotkb:Q8HNQ8|uniprotkb:Q8WCX6|uniprotkb:Q9B2U5|uniprotkb:Q9B2Z2|ensembl:ENSP00000354632.2|intact:EBI-1389380|uniprotkb:P00846	psi-mi:a4_human(display_short)|psi-mi:Amyloid-beta precursor protein(display_long)|uniprotkb:APP(gene name)|uniprotkb:"Amyloid-beta (A4) precursor protein"(gene name synonym)|uniprotkb:Alzheimer disease amyloid A4 protein homolog(gene name synonym)|uniprotkb:Amyloid-beta A4 protein(gene name synonym)|uniprotkb:Amyloid precursor protein(gene name synonym)|uniprotkb:APPI(gene name synonym)|uniprotkb:Protease nexin-II(gene name synonym)|uniprotkb:Cerebral vascular amyloid peptide(gene name synonym)|uniprotkb:PreA4(gene name synonym)|uniprotkb:ABPP(gene name synonym)|uniprotkb:Alzheimer disease amyloid protein(gene name synonym)|uniprotkb:AD1(gene name synonym)|uniprotkb:A4(gene name synonym)	psi-mi:atp6_human(display_short)|psi-mi:ATP synthase subunit a(display_long)|uniprotkb:MT-ATP6(gene name)|uniprotkb:ATP6(gene name synonym)|uniprotkb:ATPASE6(gene name synonym)|uniprotkb:MTATP6(gene name synonym)|uniprotkb:F-ATPase protein 6(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Hosp F. et al.(2015)	intact:EBI-21132292|pubmed:25959826|imex:IM-27137	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0486"(UniProt)	intact:EBI-21132574|imex:IM-27137-1	-
uniprotkb:P05067	uniprotkb:P42704	ensembl:ENSP00000284981.4|uniprotkb:P09000|uniprotkb:P78438|uniprotkb:Q13764|uniprotkb:Q13778|uniprotkb:Q13793|intact:EBI-28985182|uniprotkb:Q6GSC0|uniprotkb:Q8WZ99|uniprotkb:Q9UC33|uniprotkb:Q9UCC8|uniprotkb:Q9UCD1|uniprotkb:Q9UQ58|uniprotkb:Q16011|uniprotkb:Q16014|uniprotkb:Q16019|uniprotkb:Q16020|uniprotkb:Q9BT38|uniprotkb:Q9UCA9|uniprotkb:Q9UCB6|uniprotkb:B4DII8|uniprotkb:B2R5V1|uniprotkb:D3DSD1|uniprotkb:D3DSD2|uniprotkb:D3DSD3|intact:EBI-77613|uniprotkb:P05067	uniprotkb:Q6ZUD8|uniprotkb:Q7Z7A6|ensembl:ENSP00000260665.7|uniprotkb:A0PJE3|uniprotkb:A8K1V1|uniprotkb:Q53PC0|uniprotkb:Q53QN7|uniprotkb:Q96D84|intact:EBI-1050853|uniprotkb:P42704	psi-mi:a4_human(display_short)|psi-mi:Amyloid-beta precursor protein(display_long)|uniprotkb:APP(gene name)|uniprotkb:"Amyloid-beta (A4) precursor protein"(gene name synonym)|uniprotkb:Alzheimer disease amyloid A4 protein homolog(gene name synonym)|uniprotkb:Amyloid-beta A4 protein(gene name synonym)|uniprotkb:Amyloid precursor protein(gene name synonym)|uniprotkb:APPI(gene name synonym)|uniprotkb:Protease nexin-II(gene name synonym)|uniprotkb:Cerebral vascular amyloid peptide(gene name synonym)|uniprotkb:PreA4(gene name synonym)|uniprotkb:ABPP(gene name synonym)|uniprotkb:Alzheimer disease amyloid protein(gene name synonym)|uniprotkb:AD1(gene name synonym)|uniprotkb:A4(gene name synonym)	psi-mi:lpprc_human(display_short)|psi-mi:Leucine-rich PPR motif-containing protein, mitochondrial(display_long)|uniprotkb:LRPPRC(gene name)|uniprotkb:130 kDa leucine-rich protein(gene name synonym)|uniprotkb:GP130(gene name synonym)|uniprotkb:LRP130(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Hosp F. et al.(2015)	intact:EBI-21132292|pubmed:25959826|imex:IM-27137	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0486"(UniProt)	intact:EBI-21132574|imex:IM-27137-1	-
uniprotkb:P05067	uniprotkb:O14880	ensembl:ENSP00000284981.4|uniprotkb:P09000|uniprotkb:P78438|uniprotkb:Q13764|uniprotkb:Q13778|uniprotkb:Q13793|intact:EBI-28985182|uniprotkb:Q6GSC0|uniprotkb:Q8WZ99|uniprotkb:Q9UC33|uniprotkb:Q9UCC8|uniprotkb:Q9UCD1|uniprotkb:Q9UQ58|uniprotkb:Q16011|uniprotkb:Q16014|uniprotkb:Q16019|uniprotkb:Q16020|uniprotkb:Q9BT38|uniprotkb:Q9UCA9|uniprotkb:Q9UCB6|uniprotkb:B4DII8|uniprotkb:B2R5V1|uniprotkb:D3DSD1|uniprotkb:D3DSD2|uniprotkb:D3DSD3|intact:EBI-77613|uniprotkb:P05067	uniprotkb:Q6ICN4|ensembl:ENSP00000356859.1|ensembl:ENSP00000356864.3|uniprotkb:B2R592|intact:EBI-724754|uniprotkb:O14880	psi-mi:a4_human(display_short)|psi-mi:Amyloid-beta precursor protein(display_long)|uniprotkb:APP(gene name)|uniprotkb:"Amyloid-beta (A4) precursor protein"(gene name synonym)|uniprotkb:Alzheimer disease amyloid A4 protein homolog(gene name synonym)|uniprotkb:Amyloid-beta A4 protein(gene name synonym)|uniprotkb:Amyloid precursor protein(gene name synonym)|uniprotkb:APPI(gene name synonym)|uniprotkb:Protease nexin-II(gene name synonym)|uniprotkb:Cerebral vascular amyloid peptide(gene name synonym)|uniprotkb:PreA4(gene name synonym)|uniprotkb:ABPP(gene name synonym)|uniprotkb:Alzheimer disease amyloid protein(gene name synonym)|uniprotkb:AD1(gene name synonym)|uniprotkb:A4(gene name synonym)	psi-mi:mgst3_human(display_short)|psi-mi:Microsomal glutathione S-transferase 3(display_long)|uniprotkb:Glutathione peroxidase MGST3(gene name synonym)|uniprotkb:LTC4 synthase MGST3(gene name synonym)|uniprotkb:Microsomal glutathione S-transferase III(gene name synonym)|uniprotkb:MGST3(gene name)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Hosp F. et al.(2015)	intact:EBI-21132292|pubmed:25959826|imex:IM-27137	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0486"(UniProt)	intact:EBI-21132574|imex:IM-27137-1	-
uniprotkb:P05067	uniprotkb:Q8N5M9	ensembl:ENSP00000284981.4|uniprotkb:P09000|uniprotkb:P78438|uniprotkb:Q13764|uniprotkb:Q13778|uniprotkb:Q13793|intact:EBI-28985182|uniprotkb:Q6GSC0|uniprotkb:Q8WZ99|uniprotkb:Q9UC33|uniprotkb:Q9UCC8|uniprotkb:Q9UCD1|uniprotkb:Q9UQ58|uniprotkb:Q16011|uniprotkb:Q16014|uniprotkb:Q16019|uniprotkb:Q16020|uniprotkb:Q9BT38|uniprotkb:Q9UCA9|uniprotkb:Q9UCB6|uniprotkb:B4DII8|uniprotkb:B2R5V1|uniprotkb:D3DSD1|uniprotkb:D3DSD2|uniprotkb:D3DSD3|intact:EBI-77613|uniprotkb:P05067	uniprotkb:Q8NCF6|uniprotkb:Q96SW1|ensembl:ENSP00000496942.1|intact:EBI-10266796|uniprotkb:Q8N5M9	psi-mi:a4_human(display_short)|psi-mi:Amyloid-beta precursor protein(display_long)|uniprotkb:APP(gene name)|uniprotkb:"Amyloid-beta (A4) precursor protein"(gene name synonym)|uniprotkb:Alzheimer disease amyloid A4 protein homolog(gene name synonym)|uniprotkb:Amyloid-beta A4 protein(gene name synonym)|uniprotkb:Amyloid precursor protein(gene name synonym)|uniprotkb:APPI(gene name synonym)|uniprotkb:Protease nexin-II(gene name synonym)|uniprotkb:Cerebral vascular amyloid peptide(gene name synonym)|uniprotkb:PreA4(gene name synonym)|uniprotkb:ABPP(gene name synonym)|uniprotkb:Alzheimer disease amyloid protein(gene name synonym)|uniprotkb:AD1(gene name synonym)|uniprotkb:A4(gene name synonym)	psi-mi:jagn1_human(display_short)|psi-mi:Protein jagunal homolog 1(display_long)|uniprotkb:JAGN1(gene name)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Hosp F. et al.(2015)	intact:EBI-21132292|pubmed:25959826|imex:IM-27137	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0486"(UniProt)	intact:EBI-21132574|imex:IM-27137-1	-
uniprotkb:P05067	uniprotkb:P33947	ensembl:ENSP00000284981.4|uniprotkb:P09000|uniprotkb:P78438|uniprotkb:Q13764|uniprotkb:Q13778|uniprotkb:Q13793|intact:EBI-28985182|uniprotkb:Q6GSC0|uniprotkb:Q8WZ99|uniprotkb:Q9UC33|uniprotkb:Q9UCC8|uniprotkb:Q9UCD1|uniprotkb:Q9UQ58|uniprotkb:Q16011|uniprotkb:Q16014|uniprotkb:Q16019|uniprotkb:Q16020|uniprotkb:Q9BT38|uniprotkb:Q9UCA9|uniprotkb:Q9UCB6|uniprotkb:B4DII8|uniprotkb:B2R5V1|uniprotkb:D3DSD1|uniprotkb:D3DSD2|uniprotkb:D3DSD3|intact:EBI-77613|uniprotkb:P05067	uniprotkb:Q96E30|uniprotkb:A4D2P4|uniprotkb:Q6IPC5|ensembl:ENSP00000258739.4|intact:EBI-1056498|uniprotkb:P33947	psi-mi:a4_human(display_short)|psi-mi:Amyloid-beta precursor protein(display_long)|uniprotkb:APP(gene name)|uniprotkb:"Amyloid-beta (A4) precursor protein"(gene name synonym)|uniprotkb:Alzheimer disease amyloid A4 protein homolog(gene name synonym)|uniprotkb:Amyloid-beta A4 protein(gene name synonym)|uniprotkb:Amyloid precursor protein(gene name synonym)|uniprotkb:APPI(gene name synonym)|uniprotkb:Protease nexin-II(gene name synonym)|uniprotkb:Cerebral vascular amyloid peptide(gene name synonym)|uniprotkb:PreA4(gene name synonym)|uniprotkb:ABPP(gene name synonym)|uniprotkb:Alzheimer disease amyloid protein(gene name synonym)|uniprotkb:AD1(gene name synonym)|uniprotkb:A4(gene name synonym)	psi-mi:erd22_human(display_short)|psi-mi:ER lumen protein-retaining receptor 2(display_long)|uniprotkb:ERD2.2(gene name synonym)|uniprotkb:KDEL endoplasmic reticulum protein retention receptor 2(gene name synonym)|uniprotkb:ERD2-like protein 1(gene name synonym)|uniprotkb:KDELR2(gene name)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Hosp F. et al.(2015)	intact:EBI-21132292|pubmed:25959826|imex:IM-27137	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0486"(UniProt)	intact:EBI-21132574|imex:IM-27137-1	-
