,train_acc,train_std,valid_acc,valid_std,test_acc,test_std
L1,0.9183886885643006,0.0037600786119897,0.8797507047653198,0.0104078279705518,0.8878705620765686,0.009356560984389
L2,0.0,0.0,0.0,0.0,0.0,0.0
L3,0.0,0.0,0.0,0.0,0.0,0.0
L4,0.0,0.0,0.0,0.0,0.0,0.0
L1+L2,0.0,0.0,0.0,0.0,0.0,0.0
L1+L3,0.909450113773346,0.0050229637035294,0.8748241305351258,0.0085763045270123,0.8737878322601318,0.0094831005576418
L1+L4,0.9131659507751464,0.0033306092194079,0.8933348774909973,0.0110084278589019,0.8801220655441284,0.008897612912449
L2+L3,0.9151640176773072,0.0037029481573191,0.8779118895530701,0.0104803104457811,0.88162921667099,0.0046892242576013
L2+L4,0.9110299348831176,0.00431727852951,0.8783933639526367,0.0095733047847991,0.8809345722198486,0.0121001091345314
L3+L4,0.9126631379127502,0.0021957240336743,0.8754271268844604,0.0134025099217198,0.8813421845436096,0.0072549153919658
L1+L2+L3,0.9086592078208924,0.0030371589108726,0.8758049130439758,0.0111725344828414,0.8765531420707703,0.0046056183949865
L2+L3+L4,0.912175226211548,0.0039641490525872,0.8781851291656494,0.0119929013018306,0.881570041179657,0.0047924588329497
L1+L2+L3+L4,0.9128786325454712,0.0013714734186816,0.8743639349937439,0.0097921088392926,0.875788152217865,0.0071244745566163
L1+L2+L4,0.5996518731117249,0.1994122145689373,0.5991573572158814,0.19831471443176274,0.5884722232818603,0.17694444656372071
