"initial_alias","converted_alias","name","description","namespace"
"P05067","ENSG00000142192","APP","amyloid beta precursor protein [Source:HGNC Symbol;Acc:HGNC:620]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P05067","ENSG00000142192","APP","amyloid beta precursor protein [Source:HGNC Symbol;Acc:HGNC:620]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P05067","ENSG00000142192","APP","amyloid beta precursor protein [Source:HGNC Symbol;Acc:HGNC:620]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P05067","ENSG00000142192","APP","amyloid beta precursor protein [Source:HGNC Symbol;Acc:HGNC:620]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P05067","ENSG00000142192","APP","amyloid beta precursor protein [Source:HGNC Symbol;Acc:HGNC:620]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P05067","ENSG00000142192","APP","amyloid beta precursor protein [Source:HGNC Symbol;Acc:HGNC:620]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P05067","ENSG00000142192","APP","amyloid beta precursor protein [Source:HGNC Symbol;Acc:HGNC:620]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P05067","ENSG00000142192","APP","amyloid beta precursor protein [Source:HGNC Symbol;Acc:HGNC:620]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P05067","ENSG00000142192","APP","amyloid beta precursor protein [Source:HGNC Symbol;Acc:HGNC:620]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P05067","ENSG00000142192","APP","amyloid beta precursor protein [Source:HGNC Symbol;Acc:HGNC:620]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P05067","ENSG00000142192","APP","amyloid beta precursor protein [Source:HGNC Symbol;Acc:HGNC:620]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P05067","ENSG00000142192","APP","amyloid beta precursor protein [Source:HGNC Symbol;Acc:HGNC:620]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P05067","ENSG00000142192","APP","amyloid beta precursor protein [Source:HGNC Symbol;Acc:HGNC:620]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P05067","ENSG00000142192","APP","amyloid beta precursor protein [Source:HGNC Symbol;Acc:HGNC:620]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P05067","ENSG00000142192","APP","amyloid beta precursor protein [Source:HGNC Symbol;Acc:HGNC:620]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P05067","ENSG00000142192","APP","amyloid beta precursor protein [Source:HGNC Symbol;Acc:HGNC:620]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P05067","ENSG00000142192","APP","amyloid beta precursor protein [Source:HGNC Symbol;Acc:HGNC:620]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P05067","ENSG00000142192","APP","amyloid beta precursor protein [Source:HGNC Symbol;Acc:HGNC:620]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P05067","ENSG00000142192","APP","amyloid beta precursor protein [Source:HGNC Symbol;Acc:HGNC:620]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P05067","ENSG00000142192","APP","amyloid beta precursor protein [Source:HGNC Symbol;Acc:HGNC:620]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P05067","ENSG00000142192","APP","amyloid beta precursor protein [Source:HGNC Symbol;Acc:HGNC:620]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P05067","ENSG00000142192","APP","amyloid beta precursor protein [Source:HGNC Symbol;Acc:HGNC:620]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P05067","ENSG00000142192","APP","amyloid beta precursor protein [Source:HGNC Symbol;Acc:HGNC:620]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P05067","ENSG00000142192","APP","amyloid beta precursor protein [Source:HGNC Symbol;Acc:HGNC:620]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P05067","ENSG00000142192","APP","amyloid beta precursor protein [Source:HGNC Symbol;Acc:HGNC:620]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P05067","ENSG00000142192","APP","amyloid beta precursor protein [Source:HGNC Symbol;Acc:HGNC:620]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P05067","ENSG00000142192","APP","amyloid beta precursor protein [Source:HGNC Symbol;Acc:HGNC:620]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P05067","ENSG00000142192","APP","amyloid beta precursor protein [Source:HGNC Symbol;Acc:HGNC:620]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P05067","ENSG00000142192","APP","amyloid beta precursor protein [Source:HGNC Symbol;Acc:HGNC:620]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P05067","ENSG00000142192","APP","amyloid beta precursor protein [Source:HGNC Symbol;Acc:HGNC:620]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P49768","ENSG00000080815","PSEN1","presenilin 1 [Source:HGNC Symbol;Acc:HGNC:9508]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P05067","ENSG00000142192","APP","amyloid beta precursor protein [Source:HGNC Symbol;Acc:HGNC:620]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P49768","ENSG00000080815","PSEN1","presenilin 1 [Source:HGNC Symbol;Acc:HGNC:9508]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P49768","ENSG00000080815","PSEN1","presenilin 1 [Source:HGNC Symbol;Acc:HGNC:9508]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P49768","ENSG00000080815","PSEN1","presenilin 1 [Source:HGNC Symbol;Acc:HGNC:9508]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P05067","ENSG00000142192","APP","amyloid beta precursor protein [Source:HGNC Symbol;Acc:HGNC:620]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P49768","ENSG00000080815","PSEN1","presenilin 1 [Source:HGNC Symbol;Acc:HGNC:9508]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P49768","ENSG00000080815","PSEN1","presenilin 1 [Source:HGNC Symbol;Acc:HGNC:9508]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P05067","ENSG00000142192","APP","amyloid beta precursor protein [Source:HGNC Symbol;Acc:HGNC:620]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P49768","ENSG00000080815","PSEN1","presenilin 1 [Source:HGNC Symbol;Acc:HGNC:9508]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P05067","ENSG00000142192","APP","amyloid beta precursor protein [Source:HGNC Symbol;Acc:HGNC:620]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P49768","ENSG00000080815","PSEN1","presenilin 1 [Source:HGNC Symbol;Acc:HGNC:9508]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P49768","ENSG00000080815","PSEN1","presenilin 1 [Source:HGNC Symbol;Acc:HGNC:9508]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P49768","ENSG00000080815","PSEN1","presenilin 1 [Source:HGNC Symbol;Acc:HGNC:9508]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P49768","ENSG00000080815","PSEN1","presenilin 1 [Source:HGNC Symbol;Acc:HGNC:9508]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P49768","ENSG00000080815","PSEN1","presenilin 1 [Source:HGNC Symbol;Acc:HGNC:9508]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P49768","ENSG00000080815","PSEN1","presenilin 1 [Source:HGNC Symbol;Acc:HGNC:9508]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P49768","ENSG00000080815","PSEN1","presenilin 1 [Source:HGNC Symbol;Acc:HGNC:9508]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P49768","ENSG00000080815","PSEN1","presenilin 1 [Source:HGNC Symbol;Acc:HGNC:9508]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P49768","ENSG00000080815","PSEN1","presenilin 1 [Source:HGNC Symbol;Acc:HGNC:9508]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P05067","ENSG00000142192","APP","amyloid beta precursor protein [Source:HGNC Symbol;Acc:HGNC:620]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P05067","ENSG00000142192","APP","amyloid beta precursor protein [Source:HGNC Symbol;Acc:HGNC:620]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P49768","ENSG00000080815","PSEN1","presenilin 1 [Source:HGNC Symbol;Acc:HGNC:9508]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P05067","ENSG00000142192","APP","amyloid beta precursor protein [Source:HGNC Symbol;Acc:HGNC:620]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P05067","ENSG00000142192","APP","amyloid beta precursor protein [Source:HGNC Symbol;Acc:HGNC:620]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P49768","ENSG00000080815","PSEN1","presenilin 1 [Source:HGNC Symbol;Acc:HGNC:9508]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P49768","ENSG00000080815","PSEN1","presenilin 1 [Source:HGNC Symbol;Acc:HGNC:9508]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P05067","ENSG00000142192","APP","amyloid beta precursor protein [Source:HGNC Symbol;Acc:HGNC:620]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P49768","ENSG00000080815","PSEN1","presenilin 1 [Source:HGNC Symbol;Acc:HGNC:9508]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P49768","ENSG00000080815","PSEN1","presenilin 1 [Source:HGNC Symbol;Acc:HGNC:9508]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P49768","ENSG00000080815","PSEN1","presenilin 1 [Source:HGNC Symbol;Acc:HGNC:9508]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P49768","ENSG00000080815","PSEN1","presenilin 1 [Source:HGNC Symbol;Acc:HGNC:9508]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P49768","ENSG00000080815","PSEN1","presenilin 1 [Source:HGNC Symbol;Acc:HGNC:9508]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P49768","ENSG00000080815","PSEN1","presenilin 1 [Source:HGNC Symbol;Acc:HGNC:9508]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P49768","ENSG00000080815","PSEN1","presenilin 1 [Source:HGNC Symbol;Acc:HGNC:9508]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P49768","ENSG00000080815","PSEN1","presenilin 1 [Source:HGNC Symbol;Acc:HGNC:9508]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P49768","ENSG00000080815","PSEN1","presenilin 1 [Source:HGNC Symbol;Acc:HGNC:9508]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P49768","ENSG00000080815","PSEN1","presenilin 1 [Source:HGNC Symbol;Acc:HGNC:9508]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P49768","ENSG00000080815","PSEN1","presenilin 1 [Source:HGNC Symbol;Acc:HGNC:9508]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P49768","ENSG00000080815","PSEN1","presenilin 1 [Source:HGNC Symbol;Acc:HGNC:9508]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P49768","ENSG00000080815","PSEN1","presenilin 1 [Source:HGNC Symbol;Acc:HGNC:9508]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P49768","ENSG00000080815","PSEN1","presenilin 1 [Source:HGNC Symbol;Acc:HGNC:9508]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P49768","ENSG00000080815","PSEN1","presenilin 1 [Source:HGNC Symbol;Acc:HGNC:9508]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P49768","ENSG00000080815","PSEN1","presenilin 1 [Source:HGNC Symbol;Acc:HGNC:9508]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P49768","ENSG00000080815","PSEN1","presenilin 1 [Source:HGNC Symbol;Acc:HGNC:9508]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P49768","ENSG00000080815","PSEN1","presenilin 1 [Source:HGNC Symbol;Acc:HGNC:9508]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P49768","ENSG00000080815","PSEN1","presenilin 1 [Source:HGNC Symbol;Acc:HGNC:9508]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P49768","ENSG00000080815","PSEN1","presenilin 1 [Source:HGNC Symbol;Acc:HGNC:9508]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P49768","ENSG00000080815","PSEN1","presenilin 1 [Source:HGNC Symbol;Acc:HGNC:9508]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P49768","ENSG00000080815","PSEN1","presenilin 1 [Source:HGNC Symbol;Acc:HGNC:9508]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P49768","ENSG00000080815","PSEN1","presenilin 1 [Source:HGNC Symbol;Acc:HGNC:9508]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P49768","ENSG00000080815","PSEN1","presenilin 1 [Source:HGNC Symbol;Acc:HGNC:9508]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P49768","ENSG00000080815","PSEN1","presenilin 1 [Source:HGNC Symbol;Acc:HGNC:9508]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P49768","ENSG00000080815","PSEN1","presenilin 1 [Source:HGNC Symbol;Acc:HGNC:9508]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P49768","ENSG00000080815","PSEN1","presenilin 1 [Source:HGNC Symbol;Acc:HGNC:9508]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P49768","ENSG00000080815","PSEN1","presenilin 1 [Source:HGNC Symbol;Acc:HGNC:9508]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P49768","ENSG00000080815","PSEN1","presenilin 1 [Source:HGNC Symbol;Acc:HGNC:9508]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P49768","ENSG00000080815","PSEN1","presenilin 1 [Source:HGNC Symbol;Acc:HGNC:9508]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P49768","ENSG00000080815","PSEN1","presenilin 1 [Source:HGNC Symbol;Acc:HGNC:9508]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P49768","ENSG00000080815","PSEN1","presenilin 1 [Source:HGNC Symbol;Acc:HGNC:9508]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P49768","ENSG00000080815","PSEN1","presenilin 1 [Source:HGNC Symbol;Acc:HGNC:9508]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P49768","ENSG00000080815","PSEN1","presenilin 1 [Source:HGNC Symbol;Acc:HGNC:9508]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P49768","ENSG00000080815","PSEN1","presenilin 1 [Source:HGNC Symbol;Acc:HGNC:9508]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P49768","ENSG00000080815","PSEN1","presenilin 1 [Source:HGNC Symbol;Acc:HGNC:9508]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P49768","ENSG00000080815","PSEN1","presenilin 1 [Source:HGNC Symbol;Acc:HGNC:9508]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P49768","ENSG00000080815","PSEN1","presenilin 1 [Source:HGNC Symbol;Acc:HGNC:9508]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P49768","ENSG00000080815","PSEN1","presenilin 1 [Source:HGNC Symbol;Acc:HGNC:9508]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P49768","ENSG00000080815","PSEN1","presenilin 1 [Source:HGNC Symbol;Acc:HGNC:9508]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P49768","ENSG00000080815","PSEN1","presenilin 1 [Source:HGNC Symbol;Acc:HGNC:9508]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P49768","ENSG00000080815","PSEN1","presenilin 1 [Source:HGNC Symbol;Acc:HGNC:9508]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P49768","ENSG00000080815","PSEN1","presenilin 1 [Source:HGNC Symbol;Acc:HGNC:9508]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"P49768","ENSG00000080815","PSEN1","presenilin 1 [Source:HGNC Symbol;Acc:HGNC:9508]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
